DATE,BRAINTREE,CHECKOUT,KLARNA,STRIPE
01/08,0,0,0.16,0
02/08,0,0,31.490000000000002,0
03/08,0,0,1.26,0
04/08,0,0,13.56,0
05/08,0,0,5.19,0
06/08,0,0,13.73,0
07/08,0,0,20.42,0
08/08,0,0,13.440000000000001,0
09/08,0,0,16.02,0
10/08,0,0,4.2700000000000005,0
12/08,0,0,597.74,0
13/08,0,0,1843.73,0
14/08,0,0,4704.95,0
15/08,0,0,6021.17,0
16/08,0,0,4309.27,0
17/08,0,0,6204.43,0
18/08,0,0,8419.46,0
19/08,0,0,5895.23,0
20/08,0,0,5889.66,0
21/08,0,0,6668.31,0
22/08,0,0,6992.18,0
23/08,0,0,11348.39,0
24/08,0,0,13969.58,0
25/08,0,0,22419.079999999998,0
26/08,0,0,19642.23,0
27/08,0,0,24022.11,0
28/08,0,0,36179.979999999996,0
29/08,0,0,39773.89,0
30/08,0,0,47675.52,0
31/08,0,0,39698.28,0
