,ISO_A3,size
0,ABW,30
1,AIA,1
2,ALB,7
3,AND,7
4,ARE,224
5,ARG,140
6,ARM,2
7,ATG,2
8,AUS,2373
9,AUT,78
10,AZE,2
11,BEL,133
12,BGR,5
13,BHR,10
14,BHS,9
15,BIH,9
16,BLR,3
17,BLZ,2
18,BMU,3
19,BOL,26
20,BRA,163
21,BRB,9
22,BRN,5
23,BWA,3
24,CAN,2689
25,CHE,280
26,CHL,677
27,CHN,8
28,CIV,8
29,CMR,2
30,COD,2
31,COL,213
32,CRI,87
33,CUW,15
34,CYM,8
35,CYP,29
36,CZE,23
37,DEU,18899
38,DMA,2
39,DNK,29
40,DOM,69
41,ECU,119
42,EGY,34
43,ESP,963
44,EST,15
45,FIN,65
46,FRA,1698
47,GAB,2
48,GBR,31461
49,GEO,7
50,GHA,7
51,GIB,2
52,GIN,2
53,GRC,41
54,GTM,71
55,GUM,2
56,GUY,2
57,HKG,8
58,HND,23
59,HRV,10
60,HTI,4
61,HUN,40
62,IDN,10
63,IND,173
64,IRL,3637
65,IRQ,16
66,ISL,16
67,ISR,151
68,ITA,713
69,JAM,9
70,JOR,23
71,JPN,27
72,KEN,11
73,KHM,10
74,KOR,137
75,KWT,87
76,LAO,1
77,LBN,60
78,LKA,18
79,LTU,26
80,LUX,28
81,LVA,11
82,MAC,2
83,MAR,35
84,MDA,2
85,MEX,673
86,MKD,7
87,MLT,32
88,MNE,2
89,MNG,4
90,MUS,5
91,MYS,25
92,NGA,23
93,NIC,18
94,NLD,51
95,NOR,1717
96,NPL,3
97,NZL,598
98,OMN,24
99,PAK,27
100,PAN,52
101,PER,199
102,PHL,17
103,PNG,2
104,POL,525
105,PRI,119
106,PRT,72
107,PRY,26
108,PSE,7
109,QAT,46
110,ROU,10
111,RUS,62
112,SAU,473
113,SGP,62
114,SLV,20
115,SOM,3
116,SRB,11
117,SVK,14
118,SVN,19
119,SWE,36714
120,TTO,22
121,TUN,1
122,TUR,571
123,TZA,1
124,UKR,102
125,URY,86
126,USA,27566
127,VCT,2
128,VEN,23
129,VIR,30
130,VNM,1
131,ZAF,138
132,ZMB,2
133,ZWE,9
